gene	magma_p	magma_trait	magma_sig	transcriptome_sig	coloc_sig	fine_map_sig	evidence_count	integrated_score
104909134	0.00025218	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.598289359610919
84614	0.00025257	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5976182357609026
83694	0.00025795	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.588464467790673
440461	0.00025944	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5859630643350835
728882	0.00026038	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5843923773358526
9442	0.00026463	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.577360923202498
140733	0.00026712	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.573293593953686
100507173	0.00027034	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5680896905423674
100528016	0.0002843	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5462231403095577
5781	0.00028567	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.544135365212472
90826	0.00028567	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.544135365212472
4703	0.00028605	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5435580478983133
1946	0.00028996	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5376619089198025
55152	0.00030453	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5163699175050476
8816	0.00030457	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5163128766930263
22888	0.00030623	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5139522656421747
56928	0.00031	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5086383061657274
100500773	0.00031236	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5053445858431393
1394	0.00031315	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.504247583962673
84166	0.00031406	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.5029873736476604
25915	0.0003217	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.49254893909803
3615	0.0003217	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.49254893909803
100289092	0.00032584	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.486995602922059
6799	0.00032788	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4842850735854176
3760	0.00033874	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.470133516808085
50833	0.00034483	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4623949578482227
55751	0.00034748	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.459070187159051
54165	0.00034834	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.457996652496015
693167	0.00036067	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4428899801554427
2488	0.00036248	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4407159508288707
25921	0.00036252	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4406680286790947
147081	0.00036288	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.440236967123206
83873	0.00036398	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.438922479340697
102724698	0.00036624	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4362342246695325
2932	0.00036691	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.435440451542946
462	0.00036705	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4352747715925296
219959	0.00036785	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.434329239621482
390191	0.00036907	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.432891255167306
375341	0.00037884	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4215441720601576
56664	0.00038234	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4175502641820286
80143	0.00039114	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4076677685761694
79797	0.00039261	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.4060386428676734
4978	0.00039946	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3985267023299905
4297	0.00040399	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3936293848858536
56829	0.00040726	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.390128243074703
79411	0.0004088	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.388489112873344
3009	0.00041443	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3825488141632185
8332	0.00041443	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3825488141632185
100134015	0.00042018	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.376564623268365
8356	0.00042291	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3737520455377235
100302254	0.00042444	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3721836941376235
780	0.00042665	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3699282500313426
90993	0.00044986	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.346922621085539
92579	0.00045287	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3440264478442887
116804918	0.00045895	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.338234625806748
246744	0.00046501	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3325377075441938
133418	0.00047515	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.323169266399284
100422961	0.00049019	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.309635552710863
100423004	0.00049019	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.309635552710863
200185	0.00049141	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.3085560100443177
100616237	0.00050462	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.297035540743715
51650	0.00050536	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2963991361136884
23080	0.00050791	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2942132364683787
22834	0.00051059	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2919276951865815
201292	0.00051291	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2899588335868444
6886	0.00052041	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2836543667932094
653140	0.00052048	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2835959540622217
1813	0.00052268	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2817641175716887
100129460	0.00052285	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.281622887645098
64374	0.00052807	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.277308504362553
100302218	0.00053473	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2718654499580633
64978	0.00054602	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2627914493638346
8019	0.00054834	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.260950072289696
9404	0.00055259	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.257596978601764
401303	0.00055264	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2575576841126352
100500857	0.0005529	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2573534100612638
100507461	0.00055516	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.255581832908192
392	0.00055828	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.253147930174323
487	0.00057066	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2436225679418307
51334	0.00057793	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.2381247609821515
